fpr,tpr,thr
0.0,0.0,inf
0.0,0.034482758620689655,0.6
0.0,0.13793103448275862,0.524
0.023255813953488372,0.13793103448275862,0.508
0.046511627906976744,0.1724137931034483,0.494
0.046511627906976744,0.2413793103448276,0.468
0.09302325581395349,0.27586206896551724,0.462
0.13953488372093023,0.27586206896551724,0.456
0.13953488372093023,0.3103448275862069,0.454
0.16279069767441862,0.3448275862068966,0.45
0.20930232558139536,0.3448275862068966,0.448
0.23255813953488372,0.3448275862068966,0.446
0.23255813953488372,0.4482758620689655,0.428
0.3023255813953488,0.4482758620689655,0.42
0.3023255813953488,0.4827586206896552,0.414
0.32558139534883723,0.5172413793103449,0.412
0.32558139534883723,0.5517241379310345,0.41
0.3488372093023256,0.5517241379310345,0.406
0.3488372093023256,0.6206896551724138,0.4
0.37209302325581395,0.6206896551724138,0.398
0.37209302325581395,0.7241379310344828,0.382
0.4186046511627907,0.7241379310344828,0.378
0.4418604651162791,0.7586206896551724,0.374
0.4883720930232558,0.7586206896551724,0.368
0.5116279069767442,0.7931034482758621,0.364
0.5348837209302325,0.7931034482758621,0.362
0.5348837209302325,0.8275862068965517,0.356
0.6046511627906976,0.8275862068965517,0.338
0.6046511627906976,0.8620689655172413,0.334
0.6511627906976745,0.8620689655172413,0.328
0.6976744186046512,0.8620689655172413,0.326
0.6976744186046512,0.896551724137931,0.322
0.7674418604651163,0.896551724137931,0.306
0.7906976744186046,0.9310344827586207,0.304
0.813953488372093,0.9310344827586207,0.302
0.813953488372093,0.9655172413793104,0.292
0.8372093023255814,0.9655172413793104,0.29
0.8372093023255814,1.0,0.282
0.8837209302325582,1.0,0.278
0.9302325581395349,1.0,0.268
0.9767441860465116,1.0,0.238
1.0,1.0,0.212
